단지코드,총세대수,지역,공가수,지하철역수,버스정류장수,등록차량수,전용면적_10_30,전용면적_30_40,전용면적_40_50,전용면적_50_100,전용면적 100이상,상가비율,아파트비율,공급유형_공공임대비율,공급유형_국민임대비율,공급유형_영구임대비율,공급유형_임대상가비율,공급유형_장기전세비율,공급유형_행복주택비율
C1281,646,전라북도,4.0,0.0,3.0,484.0,0,433,213,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1194,511,제주특별자치도,3.0,0.0,4.0,585.0,0,0,0,511,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2308,285,강원도,3.0,0.0,1.0,244.0,0,0,0,285,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2036,256,강원도,2.0,0.0,1.0,258.0,0,0,174,82,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1394,466,전라북도,0.0,0.0,1.0,271.0,0,245,221,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1180,314,전라북도,15.0,0.0,1.0,311.0,0,0,0,314,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2503,382,제주특별자치도,7.0,0.0,2.0,327.0,0,228,154,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1907,212,제주특별자치도,7.0,0.0,3.0,207.0,0,109,103,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2181,872,충청북도,15.0,0.0,6.0,683.0,0,542,135,195,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1768,508,충청북도,4.0,0.0,1.0,670.0,0,0,0,508,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1783,594,대구광역시,16.0,1.0,6.0,570.0,0,180,210,204,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2192,514,충청북도,16.0,0.0,2.0,324.0,0,352,162,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2346,558,충청북도,12.0,0.0,3.0,553.0,0,0,194,364,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2680,758,경상남도,19.0,0.0,7.0,590.0,0,486,272,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2631,812,경상남도,2.0,0.0,3.0,638.0,0,322,204,286,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2141,504,경상남도,2.0,0.0,6.0,495.0,0,120,384,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2099,332,강원도,3.0,0.0,2.0,383.0,0,80,196,56,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2287,409,충청북도,18.0,0.0,3.0,284.0,0,63,281,65,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2055,773,충청북도,22.0,0.0,4.0,723.0,0,257,336,180,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1428,375,강원도,6.0,0.0,2.0,333.0,0,109,182,84,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2522,747,강원도,13.0,0.0,2.0,610.0,0,381,186,180,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2560,372,강원도,3.0,0.0,1.0,481.0,0,0,0,372,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2603,538,충청북도,9.0,0.0,2.0,509.0,0,0,419,119,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1965,498,충청북도,13.0,0.0,5.0,500.0,0,258,180,60,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1660,718,경상남도,13.0,0.0,3.0,512.0,0,180,178,360,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2378,818,경기도,25.0,0.0,12.0,901.0,0,0,0,818,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1268,1035,경기도,21.0,0.0,16.0,934.0,0,384,453,198,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1994,431,경상남도,3.0,0.0,1.0,496.0,0,0,203,228,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1837,467,경상남도,21.0,0.0,4.0,398.0,0,232,117,118,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1000,566,충청북도,10.0,0.0,1.0,481.0,0,419,72,75,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1448,1116,광주광역시,25.0,0.0,2.0,1284.0,0,0,640,476,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1516,456,전라남도,8.0,0.0,1.0,475.0,0,314,142,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2670,648,전라북도,9.0,0.0,2.0,435.0,0,504,0,144,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1365,875,경기도,5.0,0.0,2.0,945.0,0,66,89,720,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1360,443,경상북도,22.0,0.0,2.0,375.0,0,172,199,72,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1406,1647,대전광역시,13.0,0.0,2.0,1350.0,0,1173,238,236,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1566,462,전라남도,13.0,0.0,6.0,284.0,0,298,80,84,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1227,806,경상남도,7.0,0.0,1.0,823.0,160,335,107,204,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1572,937,경상남도,32.0,0.0,3.0,479.0,0,590,234,113,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1773,840,경기도,15.0,0.0,4.0,614.0,141,315,272,112,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1677,1144,경기도,9.0,0.0,4.0,1101.0,240,378,276,250,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1344,424,서울특별시,0.0,0.0,3.0,509.0,0,0,0,300,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2692,499,경상북도,19.0,0.0,2.0,437.0,0,334,105,60,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2505,200,경상북도,2.0,0.0,2.0,163.0,0,150,50,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2587,603,경상북도,23.0,0.0,3.0,589.0,0,334,72,197,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1316,107,충청남도,7.0,0.0,2.0,22.0,0,96,0,11,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1674,318,전라남도,4.0,0.0,1.0,322.0,0,190,128,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1713,656,경상남도,2.0,0.0,1.0,566.0,0,454,90,112,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1845,306,강원도,0.0,0.0,3.0,277.0,0,156,120,30,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2082,970,경기도,19.0,0.0,2.0,822.0,176,332,326,136,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1328,992,경기도,36.0,0.0,15.0,770.0,160,410,262,160,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2565,1006,경상북도,33.0,0.0,3.0,1090.0,0,219,397,390,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1804,478,경기도,3.0,0.0,3.0,951.0,0,0,0,26,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1397,370,서울특별시,9.0,0.0,3.0,1595.0,51,0,73,246,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
C2255,560,충청남도,2.0,0.0,2.0,410.0,238,178,144,0,0,0.0,1.0,0.0,0.8709126053100648,0.12908739468993527,0.0,0.0,0.0
C1343,600,경기도,8.0,1.0,4.0,549.0,0,215,281,104,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2479,679,경기도,13.0,0.0,2.0,647.0,0,280,274,125,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2352,1065,서울특별시,7.0,0.0,4.0,793.0,192,557,316,0,0,0.0,1.0,0.0,0.8703002163642536,0.12969978363574633,0.0,0.0,0.0
C1310,1037,강원도,17.0,0.0,6.0,1084.0,150,630,105,152,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1738,715,경상남도,13.0,0.0,3.0,682.0,0,480,156,79,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1863,1099,충청북도,24.0,0.0,4.0,733.0,154,505,440,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1426,374,경상북도,2.0,0.0,2.0,262.0,96,118,0,160,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2659,504,경기도,3.0,1.0,3.0,365.0,116,278,110,0,0,0.0,1.0,0.0,0.8775704179696857,0.12242958203031429,0.0,0.0,0.0
C2489,1128,부산광역시,36.0,0.0,4.0,950.0,0,0,410,718,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2211,304,전라남도,4.0,0.0,1.0,244.0,0,268,36,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2314,600,대전광역시,13.0,0.0,2.0,343.0,260,268,72,0,0,0.0,1.0,0.0,0.6610635316746395,0.3389364683253604,0.0,0.0,0.0
C1861,690,전라북도,16.0,0.0,3.0,613.0,404,0,224,62,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2389,690,충청북도,21.0,0.0,3.0,561.0,0,375,135,180,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1490,749,충청북도,24.0,0.0,3.0,899.0,0,0,0,655,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1024,680,서울특별시,2.0,0.0,3.0,957.0,0,0,0,477,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1788,376,경상남도,28.0,0.0,3.0,412.0,0,0,0,376,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2620,1029,전라남도,28.0,0.0,6.0,1709.0,0,0,0,906,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1286,919,전라남도,27.0,0.0,2.0,881.0,0,0,0,919,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2085,969,서울특별시,0.0,0.0,3.0,1595.0,0,0,0,969,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1089,368,전라남도,14.0,0.0,2.0,309.0,0,230,87,51,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2237,70,충청남도,7.0,0.0,2.0,55.0,0,62,8,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1341,922,광주광역시,7.0,0.0,1.0,442.0,250,516,156,0,0,0.0,1.0,0.0,0.8128926419558956,0.18710735804410442,0.0,0.0,0.0
C1338,622,부산광역시,13.0,1.0,3.0,551.0,0,0,504,118,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1969,1366,대구광역시,29.0,0.0,2.0,886.0,304,794,268,0,0,0.0,1.0,0.0,0.9045667403111662,0.09543325968883379,0.0,0.0,0.0
C2274,1122,충청북도,34.0,0.0,3.0,713.0,296,446,380,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1699,752,경기도,7.0,0.0,7.0,606.0,0,438,138,176,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2251,886,경기도,16.0,0.0,3.0,870.0,34,282,450,120,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1340,552,전라북도,21.0,0.0,3.0,410.0,200,192,160,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2373,850,제주특별자치도,9.0,0.0,5.0,800.0,0,492,286,72,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1455,432,강원도,2.0,0.0,5.0,420.0,164,104,164,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1095,1256,경기도,37.0,0.0,3.0,505.0,66,458,418,314,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2137,960,경상북도,30.0,0.0,8.0,752.0,180,360,420,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1985,874,전라남도,28.0,0.0,4.0,630.0,0,376,322,176,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2583,1106,대전광역시,21.0,,2.0,982.0,240,722,144,0,0,0.0,1.0,0.0,0.8442524181808161,0.15574758181918394,0.0,0.0,0.0
C2450,483,경기도,8.0,0.0,5.0,451.0,0,262,173,48,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2329,1028,대구광역시,24.0,0.0,5.0,821.0,216,540,168,104,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1834,326,강원도,4.0,0.0,1.0,255.0,0,212,78,36,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1649,575,경상남도,15.0,,,855.0,0,0,0,575,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1848,532,광주광역시,9.0,0.0,3.0,625.0,0,0,0,532,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1743,791,대구광역시,16.0,1.0,1.0,1653.0,0,0,0,791,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1402,344,충청북도,16.0,0.0,2.0,498.0,0,0,0,344,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1103,935,강원도,31.0,0.0,2.0,787.0,269,232,268,166,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1129,1444,경기도,2.0,1.0,10.0,1668.0,0,0,0,1444,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1027,452,경상남도,21.0,0.0,5.0,207.0,0,262,190,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2377,1105,경상남도,22.0,0.0,3.0,579.0,0,774,140,191,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2431,472,경상남도,16.0,0.0,2.0,359.0,0,272,200,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2661,354,제주특별자치도,12.0,0.0,6.0,330.0,140,110,104,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1263,268,충청북도,4.0,0.0,5.0,217.0,60,148,60,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1136,984,경기도,31.0,0.0,19.0,763.0,296,296,228,164,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2605,624,강원도,6.0,0.0,3.0,572.0,0,450,174,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2393,1546,경기도,1.0,1.0,2.0,922.0,248,1014,284,0,0,0.0,1.0,0.0,0.8050284875008126,0.19497151249918745,0.0,0.0,0.0
C1673,640,충청북도,22.0,0.0,1.0,526.0,180,280,180,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1017,1460,대전광역시,27.0,0.0,2.0,1246.0,324,580,556,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2539,396,충청남도,8.0,0.0,2.0,228.0,196,140,60,0,0,0.0,1.0,0.0,0.8859731201088806,0.11402687989111944,0.0,0.0,0.0
C1933,1022,광주광역시,8.0,0.0,3.0,1730.0,0,0,0,1022,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2316,1126,대구광역시,36.0,0.0,4.0,712.0,308,574,244,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2051,1164,세종특별자치시,0.0,0.0,3.0,780.0,0,0,0,1164,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2414,924,충청북도,13.0,0.0,4.0,1200.0,0,0,0,924,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1301,340,대구광역시,19.0,0.0,4.0,202.0,120,220,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2612,1684,세종특별자치시,27.0,0.0,2.0,1832.0,682,620,382,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2627,580,전라남도,18.0,0.0,2.0,404.0,270,138,172,0,0,0.0,1.0,0.0,0.8516689472855021,0.1483310527144979,0.0,0.0,0.0
C2040,198,충청북도,11.0,0.0,2.0,336.0,0,0,0,198,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2609,556,제주특별자치도,17.0,0.0,2.0,555.0,196,160,200,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2001,540,경기도,10.0,0.0,8.0,417.0,210,182,148,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1065,938,경상북도,37.0,0.0,3.0,1255.0,298,252,388,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1363,2568,경기도,11.0,0.0,6.0,2550.0,1290,564,714,0,0,0.0,1.0,0.0,0.840492089481246,0.159507910518754,0.0,0.0,0.0
C2579,1058,경기도,16.0,0.0,4.0,751.0,474,368,133,83,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1048,368,경기도,15.0,0.0,3.0,243.0,176,128,64,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1210,1088,대구광역시,39.0,0.0,4.0,586.0,716,372,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C1320,1696,경상남도,35.0,0.0,4.0,924.0,616,728,352,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1941,404,경상남도,19.0,0.0,3.0,600.0,0,0,0,404,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1326,1934,부산광역시,43.0,0.0,4.0,1153.0,1166,464,304,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1685,295,충청북도,28.0,0.0,1.0,164.0,215,72,8,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2618,1550,경기도,40.0,0.0,7.0,783.0,774,408,368,0,0,0.0,1.0,0.0,0.8398855846571771,0.16011441534282297,0.0,0.0,0.0
C1451,1618,경기도,38.0,0.0,3.0,1044.0,714,600,304,0,0,0.0,1.0,0.0,0.8889483131138599,0.11105168688614016,0.0,0.0,0.0
C2143,363,강원도,2.0,0.0,2.0,719.0,0,0,0,363,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1968,514,강원도,0.0,0.0,3.0,220.0,410,52,52,0,0,0.0,1.0,0.0,0.7659092317599919,0.23409076824000796,0.0,0.0,0.0
C2470,636,대전광역시,1.0,1.0,2.0,887.0,0,96,264,46,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1258,840,경상남도,0.0,0.0,3.0,616.0,400,330,110,0,0,0.0,1.0,0.0,0.8765524279384613,0.12344757206153871,0.0,0.0,0.0
C2453,659,경기도,7.0,2.0,3.0,559.0,372,156,130,0,0,0.0,1.0,0.0,0.8566142195188564,0.14338578048114356,0.0,0.0,0.0
C1724,1256,경상남도,1.0,0.0,6.0,701.0,850,406,0,0,0,0.0,1.0,0.0,0.1936198240598376,0.05765626356416618,0.0,0.0,0.7487239123759961
C1802,1438,세종특별자치시,3.0,0.0,2.0,1983.0,0,0,0,1438,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1939,2334,경기도,13.0,0.0,3.0,1896.0,1014,660,660,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1284,528,경상남도,0.0,0.0,5.0,780.0,0,0,0,528,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2595,867,경상남도,2.0,0.0,5.0,1359.0,0,0,0,867,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2351,542,경기도,6.0,0.0,4.0,646.0,0,0,0,542,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1697,526,경기도,4.0,0.0,3.0,854.0,0,0,0,526,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2259,947,경기도,5.0,0.0,2.0,1378.0,0,0,0,947,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1786,480,강원도,25.0,0.0,3.0,345.0,388,92,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C1652,890,서울특별시,20.0,1.0,8.0,509.0,524,232,134,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C1565,1020,대구광역시,42.0,0.0,3.0,588.0,650,370,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C1910,616,전라북도,21.0,0.0,2.0,396.0,412,200,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2139,311,경상남도,11.0,0.0,4.0,155.0,108,138,60,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1979,270,경기도,17.0,0.0,4.0,133.0,135,135,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C1803,100,울산광역시,13.0,0.0,2.0,78.0,66,34,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2508,847,전라북도,13.0,0.0,3.0,568.0,524,226,92,0,0,0.0,1.0,0.0,0.7188810426445682,0.2811189573554318,0.0,0.0,0.0
C2531,540,제주특별자치도,22.0,0.0,6.0,358.0,318,126,96,0,0,0.0,1.0,0.0,0.543341181119215,0.0,0.0,0.0,0.4566588188807849
C1695,203,전라남도,12.0,0.0,4.0,123.0,128,72,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2556,303,울산광역시,21.0,0.0,2.0,148.0,0,232,68,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2086,1080,세종특별자치시,7.0,0.0,2.0,1524.0,0,0,0,1080,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1544,442,대구광역시,10.0,0.0,2.0,713.0,0,0,0,442,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2496,818,전라북도,0.0,0.0,3.0,1400.0,0,0,0,818,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1756,404,울산광역시,1.0,0.0,3.0,609.0,0,0,0,404,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2362,1509,경기도,46.0,0.0,2.0,196.0,1074,426,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2568,412,경상북도,31.0,0.0,2.0,189.0,260,150,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2245,212,경상남도,22.0,0.0,1.0,98.0,146,64,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2059,26,경기도,1.0,1.0,3.0,13.0,12,14,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2549,202,제주특별자치도,17.0,0.0,2.0,165.0,120,80,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C1584,1227,경기도,40.0,0.0,3.0,507.0,850,370,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2298,581,대전광역시,21.0,0.0,3.0,444.0,330,248,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2225,1206,경상남도,49.0,0.0,3.0,448.0,750,450,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C1218,1048,경기도,28.0,0.0,6.0,921.0,516,524,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2328,1077,충청북도,4.0,0.0,2.0,1374.0,0,0,0,1077,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1045,464,강원도,13.0,0.0,2.0,266.0,176,178,110,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1207,100,광주광역시,10.0,0.0,6.0,59.0,76,24,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C1970,214,광주광역시,16.0,0.0,6.0,159.0,140,60,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2433,511,경기도,19.0,0.0,2.0,130.0,284,224,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C1156,1004,충청북도,47.0,0.0,3.0,505.0,614,384,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2142,954,울산광역시,41.0,0.0,5.0,396.0,340,390,216,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2153,362,전라남도,20.0,0.0,3.0,280.0,112,130,120,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2186,924,대구광역시,0.0,0.0,8.0,744.0,508,220,188,0,0,0.0,1.0,0.0,0.803566963699664,0.19643303630033596,0.0,0.0,0.0
C1176,1486,충청북도,55.0,0.0,3.0,619.0,348,538,600,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2446,2200,경기도,32.0,0.0,5.0,1204.0,984,560,656,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2586,90,제주특별자치도,7.0,0.0,3.0,57.0,54,36,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2035,492,강원도,24.0,0.0,1.0,246.0,156,156,180,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2020,40,부산광역시,7.0,1.0,2.0,19.0,25,15,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C2437,90,충청북도,12.0,0.0,1.0,16.0,90,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
C2532,239,강원도,7.0,0.0,1.0,146.0,0,0,38,201,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
